Sample	read_type	chromosome:	number_chunks	chunking_time	aggregating_time	filtering_time	saving_raw_time	classifying_time	saving_bed_time	total_time	time_per_chunk	number_dark_regions	percent_dark_regions	node_of_execution	job_id	peak_RAM_GB	job_time	cores	window_size	filtering_depth	filtering_mapq	filtering_phred	
COLO829_SR	short	11	136	71	2661	1844	9	1.3	280	4866.3	35.78161765	23151	0.8616206735	49	11527264.hpcpbs02	108.347096	1:26:00	40	1000000	10	10	7	11
COLO829_SR	short	12	134	69	2773	1956	5	0.7	150	4953.7	36.96791045	19788	0.494349971	47	11527263.hpcpbs02	109.237144	1:27:00	40	1000000	10	10	7	12
COLO829_SR	short	13	115	70	1965	1613	67	12	3914	7641	66.44347826	16733	6.821022275	44	11527262.hpcpbs02	94.746804	2:11:00	40	1000000	10	10	7	13
COLO829_SR	short	14	108	70	2120	1625	94	15.9	3465	7389.9	68.425	11073	7.591970052	42	11527261.hpcpbs02	86.364324	2:07:00	40	1000000	10	10	7	14
COLO829_SR	short	15	102	67	1463	1353	83	21.9	4924	7911.9	77.56764706	15202	8.337203288	45	11527260.hpcpbs02	83.72064	2:15:00	40	1000000	10	10	7	15
COLO829_SR	short	16	91	72	1281	1203	49	7.8	2347	4959.8	54.5032967	13192	4.564083509	43	11527259.hpcpbs02	79.025644	1:25:00	40	1000000	10	10	7	16
COLO829_SR	short	17	84	66	1116	1084	18	2.8	365	2651.8	31.56904762	13774	1.694135852	41	11527258.hpcpbs02	68.010432	0:46:00	40	1000000	10	10	7	17
COLO829_SR	short	18	81	69	1037	1005	15	1.6	293	2420.6	29.88395062	17966	1.128747344	40	11527257.hpcpbs02	65.353184	0:42:00	40	1000000	10	10	7	18
COLO829_SR	short	19	59	60	511	734	11	1.8	198	1515.8	25.69152542	7475	1.263101379	65	11527256.hpcpbs02	49.671624	0:26:00	40	1000000	10	10	7	19
COLO829_SR	short	20	65	57	554	704	8	1.1	160	1484.1	22.83230769	9848	0.9635893286	64	11527252.hpcpbs02	51.97538	0:26:00	40	1000000	10	10	7	20
COLO829_SR	short	21	47	56	523	463	37	6.1	564	1649.1	35.08723404	6870	4.680535044	63	11527249.hpcpbs02	44.697112	0:28:00	40	1000000	10	10	7	21
COLO829_SR	short	22	51	56	384	586	50	8.7	1163	2247.7	44.07254902	6189	6.015641731	63	11527047.hpcpbs02	46.6028	0:38:00	40	1000000	10	10	7	22
COLO829_SR	short	X	157	73	3907	2508	40	4.7	2500	9032.7	57.53312102	53138	4.599635884	19	11528908.hpcpbs02	125.302036	2:37:00	40	1000000	10	10	7	X
COLO829_SR	short	Y	58	76	838	782	207	41.3	4684	6628.3	114.2810345	5983	68.99531108	20	11528909.hpcpbs02	47.669244	1:53:00	40	1000000	10	10	7	Y
COLO829_SR	short	WG	3102	2203	115355	74402	1285	198.18	60031	253474.18	81.71314636	456594	N/A	N/A	N/A	2544.92896	75:27:00	N/A	N/A	N/A	N/A	N/A	WG
PAH-105BC_SR	short 	1	249	78	9730	3998	148	25.6	50527	64506.6	259.0626506	120642	12.52011888	17	11545357.hpcpbs02	204.164636	18:17:00	40	1000000	10	10	7	1
PAH-105BC_SR	short	2	243	108	11095	4573	109	14.2	49127	65026.2	267.5975309	159501	7.178406075	24	11545356.hpcpbs02	202.154724	18:23:00	40	1000000	10	10	7	2
PAH-105BC_SR	short	3	199	70	6104	4734	71	10.8	32325	43314.8	217.6623116	152623	7.544603659	48	11545355.hpcpbs02	165.907068	12:15:00	40	1000000	10	10	7	3
PAH-105BC_SR	short	4	191	205	10937	7409	234	23.4	87208	106016.4	555.0596859	174901	9.065181684	30	11545354.hpcpbs02	173.356844	30:09:00	40	1000000	10	10	7	4
PAH-105BC_SR	short	5	182	133	8974	5398	181	17.6	56981	71684.6	393.8714286	135065	9.066294946	31	11545353.hpcpbs02	159.49954	20:21:00	40	1000000	10	10	7	5
PAH-105BC_SR	short	6	171	67	4299	2366	54	7.5	9098	15891.5	92.93274854	119931	6.996042568	17	11545352.hpcpbs02	139.485024	4:35:00	40	1000000	10	10	7	6
PAH-105BC_SR	short	7	160	67	3354	2355	57	7.9	14445	20285.9	126.786875	103061	7.926092993	7	11545351.hpcpbs02	130.35604	5:46:00	40	1000000	10	10	7	7
PAH-105BC_SR	short	8	146	179	5976	5087	143	14.8	20376	31775.8	217.6424658	96558	7.388448242	36	11545350.hpcpbs02	119.292864	9:09:00	40	1000000	10	10	7	8
PAH-105BC_SR	short	9	139	184	7082	4857	361	48	59708	72240	519.7122302	76027	19.78286136	37	11545349.hpcpbs02	113.380708	20:27:00	40	1000000	10	10	7	9
PAH-105BC_SR	short	10	134	183	5100	4555	92	9.4	7930	17869.4	133.3537313	57663	2.798240328	30	11545348.hpcpbs02	110.433872	5:14:00	40	1000000	10	10	7	10
PAH-105BC_SR	short	11	136	178	5866	4763	145	14.8	18167	29133.8	214.2191176	92595	4.274155258	38	11545347.hpcpbs02	111.35484	8:22:00	40	1000000	10	10	7	11
PAH-105BC_SR	short	12	134	68	2311	1755	41	5.2	4539	8719.2	65.06865672	84180	3.612622614	7	11545346.hpcpbs02	109.947116	2:31:00	40	1000000	10	10	7	12
PAH-105BC_SR	short	13	115	63	1747	1497	100	16	26273	29696	258.226087	76769	9.339638565	22	11545345.hpcpbs02	94.883348	8:20:00	40	1000000	10	10	7	13
PAH-105BC_SR	short	14	108	108	2139	1883	135	20	23798	28083	260.0277778	54291	9.31972986	24	11545344.hpcpbs02	87.579548	7:53:00	40	1000000	10	10	7	14
